,name,title,attributes,description,section,section_type,available,special_title,capacity,enrolled,crn,levels,schedule_type,instructors,where,days,time
10,ITMT 597,Special Problem in IT,Standard Tuition Rate,Independent study and project.,Fall 2020,Independent Study/Research,10,,10,0,11238,"Graduate Business, Graduate, Undergraduate",Independent Study/Research,Carol Davids,TBA,,TBA
11,ITMT 597,Special Problem in IT,Standard Tuition Rate,Independent study and project.,Fall 2020,Independent Study/Research,10,Special Problems in Information Technology,10,0,11239,"Graduate Business, Graduate, Undergraduate",Independent Study/Research,Carl Carlson,TBA,,TBA
12,ITMT 597,Special Problem in IT,Standard Tuition Rate,Independent study and project.,Fall 2020,Independent Study/Research,10,,10,0,12780,"Graduate Business, Graduate, Undergraduate",Independent Study/Research,Adarsh Arora,TBA,,TBA
13,ITMT 597,Special Problem in IT,Standard Tuition Rate,Independent study and project.,Fall 2020,Independent Study/Research,10,,10,0,12781,"Graduate Business, Graduate, Undergraduate",Independent Study/Research,Maurice Dawson,TBA,,TBA
14,ITMT 597,Special Problem in IT,Standard Tuition Rate,Independent study and project.,Fall 2020,Independent Study/Research,10,,10,0,11240,"Graduate Business, Graduate, Undergraduate",Independent Study/Research,Bonnie Goins,TBA,,TBA
15,ITMT 597,Special Problem in IT,Standard Tuition Rate,Independent study and project.,Fall 2020,Independent Study/Research,10,,10,0,11241,"Graduate Business, Graduate, Undergraduate",Independent Study/Research,Raymond Trygstad,TBA,,TBA
16,ITMT 597,Special Problem in IT,Standard Tuition Rate,Independent study and project.,Fall 2020,Independent Study/Research,10,,10,0,11242,"Graduate Business, Graduate, Undergraduate",Independent Study/Research,Raymond Trygstad,TBA,,TBA
17,ITMT 597,Special Problem in IT,Standard Tuition Rate,Independent study and project.,Fall 2020,Independent Study/Research,10,,10,0,11347,"Graduate Business, Graduate, Undergraduate",Independent Study/Research,Jeremy Hajek,TBA,,TBA
18,ITMT 597,Special Problem in IT,Standard Tuition Rate,Independent study and project.,Fall 2020,Independent Study/Research,10,,10,0,11613,"Graduate Business, Graduate, Undergraduate",Independent Study/Research,Louis McHugh,TBA,,TBA
19,ITMT 595,Topics in IT,Standard Tuition Rate,"This course will cover a particular topic, varying from semester to semester, in which there is particular student or staff interest.",Fall 2020,Class,21,,24,3,12955,"Graduate Business, Graduate, Undergraduate",Lecture,Ramesh Rao,TBA,R,5pm - 7:40pm
20,ITMT 595,Topics in IT,Standard Tuition Rate,"This course will cover a particular topic, varying from semester to semester, in which there is particular student or staff interest.",Fall 2020,Class,4,,5,1,12956,"Graduate Business, Graduate, Undergraduate",Lecture,Ramesh Rao,TBA,,TBA
21,ITMT 595,Topics in IT,Standard Tuition Rate,"This course will cover a particular topic, varying from semester to semester, in which there is particular student or staff interest.",Fall 2020,Class,3,,3,0,12957,"Graduate Business, Graduate, Undergraduate",Lecture,Ramesh Rao,TBA,,TBA
22,ITMM 586,IT Auditing,Standard Tuition Rate,"Industry standard practices and standards in the auditing of information technology in an organization are addressed, with a particular emphasis on examination of IT governance, assets, controls, and control techniques. Specific areas covered will include the audit process, IT governance, systems and infrastructure life cycle management, IT service delivery and support, protection of information assets, and business continuity and disaster recovery. Students will examine case studies and complete hands-on exercises.",Fall 2020,Class,8,,20,12,11857,"Graduate Business, Graduate, Undergraduate",Lecture,Bonnie Goins,TBA,W,6:25pm - 9:05pm
23,ITMS 543,Vulnerability Analys and Ctrl,Standard Tuition Rate,"This course addresses hands-on ethical hacking, penetration testing, and detection of malicious probes and their prevention. It provides students with in-depth theoretical and practical knowledge of the vulnerabilities of networks of computers including the networks themselves, operating systems and important applications. Integrated with the lectures are laboratories focusing on the use of open source and freeware tools; students will learn in a closed environment to probe, penetrate and hack other networks",Fall 2020,Class,22,,32,10,12123,"Graduate Business, Graduate, Undergraduate",Lecture,Kevin Vaccaro,TBA,T,6:25pm - 9:05pm
24,ITMS 548,Cyber Security Technologies,Standard Tuition Rate,"Prepares students for a role as a network security administrator and analyst. Topics include viruses, worms, other attack mechanisms, vulnerabilities and countermeasures, network security protocols, encryption, identity and authentication, scanning, firewalls, security tools, and organizations addressing security. A component of this course is a self-contained team project that, if the student wishes, can he extended into a full operational security system in a follow-course,",Fall 2020,Class,24,,25,1,11221,"Graduate Business, Graduate, Undergraduate",Lecture/Lab,Maurice Dawson,TBA,W,1:50pm - 5:25pm
25,ITMS 548,Cyber Security Technologies,Standard Tuition Rate,"Prepares students for a role as a network security administrator and analyst. Topics include viruses, worms, other attack mechanisms, vulnerabilities and countermeasures, network security protocols, encryption, identity and authentication, scanning, firewalls, security tools, and organizations addressing security. A component of this course is a self-contained team project that, if the student wishes, can he extended into a full operational security system in a follow-course,",Fall 2020,Class,27,,29,2,12949,"Graduate Business, Graduate, Undergraduate",Lecture/Lab,Maurice Dawson,TBA,M,6:25pm - 9:05pm
26,ITMS 548,Cyber Security Technologies,Standard Tuition Rate,"Prepares students for a role as a network security administrator and analyst. Topics include viruses, worms, other attack mechanisms, vulnerabilities and countermeasures, network security protocols, encryption, identity and authentication, scanning, firewalls, security tools, and organizations addressing security. A component of this course is a self-contained team project that, if the student wishes, can he extended into a full operational security system in a follow-course,",Fall 2020,Class,7,,10,3,13857,"Graduate Business, Graduate, Undergraduate",Lecture/Lab,Maurice Dawson,TBA,,TBA
27,AAH 380,Topics in Art & Arch History,"Communications Requirement, Humanities Requirement, Eligible Pass/Fail Course, Standard Tuition Rate",An investigation into a topic of current or enduring interest in Art and/or Architectural History which will be announced by the instructor when the course is scheduled.,Fall 2020,Class,0,,22,22,11413,Undergraduate,Lecture,Erin Hazard,TBA,TR,10am - 11:15am
28,COM 421,Technical Communication,"Communications Requirement, Eligible Pass/Fail Course, Standard Tuition Rate","Principles and practice in the communication of technical materials. Students work on the design, writing, and revising of reports, articles, manuals, procedures, proposals, including the use of graphics. Works by modern writers are analyzed.",Fall 2020,Class,0,,22,22,10256,"Graduate Business, Graduate, Undergraduate",Lecture,Andrew Roback,TBA,MW,1:50pm - 3:05pm
29,COM 428,Verbal Visual Communications,"Communications Requirement, Eligible Pass/Fail Course, Standard Tuition Rate","Introduces students to the issues, strategies, and ethics of technical and professional presentations, and provides students with opportunities to engage in public address, video presentations and conferencing, and group presentations. Analysis of audience types and presentation situations, group dynamics, persuasive theories, language, and mass media.",Fall 2020,Class,4,,22,18,11193,"Graduate Business, Graduate, Undergraduate",Lecture,Qian Branson,TBA,MW,10am - 11:15am
30,PSYC 564,Rehab/Mental Health Cnslng Res,Standard Tuition Rate,"The primary objective of this course is to help students become familiar with rehabilitation and mental health counseling research, acquire the basic knowledge and skills for designing and conducting applied research, and develop a preliminary research proposal for their research project. A secondary purpose is to teach students to critically evaluate rehabilitation and mental health counseling research in order to inform evidence-based practice. Includes an overview of various research designs, data analysis techniques, and the use of SPSS for statistical analysis as well as principles and models of program evaluation and the use of findings to effect program modifications.",Fall 2020,Class,11,,15,4,10481,"Graduate, Undergraduate",Lecture,Patrick Corrigan,TBA,R,10am - 12:40pm
31,PSYC 562,Job Placement,Standard Tuition Rate,"Techniques of job development, job analysis, job placement, job seeking skills and follow-up. Includes affirmative action, manpower, and legislative programs involving job placement of special groups.",Fall 2020,Class,10,,15,5,10480,"Graduate Business, Graduate, Undergraduate",Lecture,Nicole Ditchman,TBA,R,1:50pm - 4:30pm
32,CS 559,Biometrics,Standard Tuition Rate,"In a security conscious society, biometrics-based authentication and identification have become a central focus for many important applications as biometrics can provide accurate and reliable identification. Biometrics research and technology continue to mature rapidly, driven by pressing industrial and government needs and supported by industrial and government funding. This course offers an introduction to major biometric techniques, the underlying pattern recognition and computer vision basis for these biometrics, scientific testing and evaluation methodologies of biometrics systems, a deeper study of facial recognition, and an examination of the current privacy and social/ethical issues surrounding the technology. The course includes readings from the literature, short writing assignments, and practical experience with current biometric technology. Prerequisite working knowledge of Matlab or C/C++ is necessary.",Fall 2020,Class,11,,40,29,12862,"Graduate Business, Graduate, Undergraduate",Lecture,Xin Chen,TBA,S,9am - 11:40am
33,CS 557,Cyber-Physical Sys Sec/Dsgn,Standard Tuition Rate,"In this course, we will examine the security and privacy issues in the vast implementations of Cyber-physical systems (CPS). According to the definition, CPS refers to a system that has both physical and software components, and they are all controlled or monitored by computer-based algorithms. CPS, or IoT systems touch many aspects of life, including transportation, health care, safety, environment, energy, and more. We will examine how existing security mechanisms can be applied to the CPS system, why such protections are not enough, and study the trend of security system design in the area. In addition, we will examine and discuss CPS/IoT technology and market specific topics, relevant case studies of system security vulnerabilities and attacks, and mitigation controls. We will have several case studies in current CPS/IoT systems and students will assess the health, safety, privacy, and economic impacts of IoT security events. Also, students will need to review research papers related to course topics and present a final project report at the end of the course.",Fall 2020,Class,12,,20,8,13808,"Graduate Business, Graduate, Undergraduate",Lecture,Rujia Wang,TBA,MW,3:15pm - 4:30pm
34,CS 557,Cyber-Physical Sys Sec/Dsgn,Standard Tuition Rate,"In this course, we will examine the security and privacy issues in the vast implementations of Cyber-physical systems (CPS). According to the definition, CPS refers to a system that has both physical and software components, and they are all controlled or monitored by computer-based algorithms. CPS, or IoT systems touch many aspects of life, including transportation, health care, safety, environment, energy, and more. We will examine how existing security mechanisms can be applied to the CPS system, why such protections are not enough, and study the trend of security system design in the area. In addition, we will examine and discuss CPS/IoT technology and market specific topics, relevant case studies of system security vulnerabilities and attacks, and mitigation controls. We will have several case studies in current CPS/IoT systems and students will assess the health, safety, privacy, and economic impacts of IoT security events. Also, students will need to review research papers related to course topics and present a final project report at the end of the course.",Fall 2020,Class,25,,25,0,13809,"Graduate Business, Graduate, Undergraduate",Lecture,Rujia Wang,TBA,,TBA
35,CS 550,Advanced Operating Systems,Standard Tuition Rate,"Advanced operating system design concepts such as interprocess communication, distributed processing, replication and consistency, fault tolerance, synchronization, file systems. Study of systems highlighting these concepts.",Fall 2020,Class,4,,30,26,12065,"Graduate Business, Graduate, Undergraduate",Lecture,Xian-He Sun,TBA,TR,3:15pm - 4:30pm
36,CS 550,Advanced Operating Systems,Standard Tuition Rate,"Advanced operating system design concepts such as interprocess communication, distributed processing, replication and consistency, fault tolerance, synchronization, file systems. Study of systems highlighting these concepts.",Fall 2020,Class,9,,10,1,12066,"Graduate Business, Graduate, Undergraduate",Lecture,Xian-He Sun,TBA,TR,3:15pm - 4:30pm
37,MBA 511,Marketing Strategy,Business Graduate Tuition Rate,"This course provides an introduction to the practice and strategy of marketing. Marketing activities are those processes and functions that enable managers and policy-makers to identify and serve the values and needs of a customer given the capacities of the company, activities of competitors, and inherent constraints in the business environment. Marketers typically refer to these concepts as the ""four C's."" Based on their understanding of the ""four C's,"" students will then learn how to implement strategy by applying the levers of the marketing mix. These elements are known as the four P's (product, price, place/channels of distribution, and promotion). The treatment of marketing constraints and marketing mix will be motivated by essential foundations from economics, sociology, and consumer behavior. Over the course of the semester, students are expected to transition from thinking about these concepts in isolation to a dynamic, integrative framework. This process includes using the marketing strategy framework to assess business and policy problems from a ""multiple objective"" perspective: that is, the student will be asked to think about how marketing activities along with those of competitors and collaborators will affect the profitability, sustainability, social, and ethical standing of the firm. The synthesis of these concepts will be carried out through the use of case studies, problem sets, classroom lectures, discussions, and a field project. There will also be a midterm and final exam. The pedagogical style of the course emphasizes the students' role in applying the concepts discussed in the lectures to the situations at hand. The role of the instructor is to provide tools to structure thinking and to stimulate and facilitate analysis of the cases.",Fall 2020,Class,6,,10,4,10867,"Graduate Business, Graduate, Undergraduate",Lecture,Robert Nelson,TBA,F,6pm - 8:30pm
38,ARCH 403,Environment & Bldg Systems I,Standard Tuition Rate,"Selection and design of building support systems: heating, ventilating, air conditioning, water supply, sanitary and storm drainage, power distribution, lighting, communications and vertical transportation. Systems are analyzed for their effect on building form, construction cost and operating efficiency.",Fall 2020,Class,11,,100,89,10091,"Graduate, Undergraduate",Lecture,Rahman Azari,TBA,TR,1:50pm - 3:05pm
39,HIST 580,Topics in History,Standard Tuition Rate,A course for graduate students on a topic in history.,Fall 2020,Class,1,,2,1,13693,"Graduate Business, Graduate, Undergraduate",Lecture,Mar Hicks,TBA,,TBA
40,HIST 580,Topics in History,Standard Tuition Rate,A course for graduate students on a topic in history.,Fall 2020,Class,2,Filming the Past,2,0,13687,"Graduate Business, Graduate, Undergraduate",Lecture,Mar Hicks,TBA,W,5pm - 7:40pm
41,COM 510,The Human Voice,Standard Tuition Rate,Analysis of human and synthetic speech intended for technology mediated environments and devices. Focs on talker characteristics that affect speech intelligibility and social factors that affect talker characteristics. Attention to design characteristics of technology mediated speech and how humans react to it.,Fall 2020,Class,2,,2,0,13674,"Graduate Business, Graduate, Undergraduate",Lecture,Matthew Bauer,TBA,TR,11:25am - 12:40pm
42,CHEM 415,Inorganic Chemistry,Standard Tuition Rate,"In-depth introduction to the vast subfield of the discipline dealing with all of the elements in the periodic table. Presents balanced blend of facts and theories in modern inorganic chemistry. Emphasis is on bonding, electronic, magnetic, and structural features exhibited by inorganic and organometallic compounds and their reactivities. Modern concepts including symmetry and group theory and their relevance in solving chemical problems. Bioinorganic chemistry and high tech inorganic materials and solids are introduced.",Fall 2020,Class,2,,10,8,11482,"Graduate Business, Graduate, Undergraduate",Lecture,Adam Hock,TBA,MW,10am - 11:15am
43,CAE 457,Geotechnical Foundation Dsgn,"CAEE Design Course, Standard Tuition Rate","Methods of subsoil exploration. Study of types and methods of design and construction of foundations for structures, including single and combined footings, mats, piles, caissons, retaining walls, and underpinning. Drainage and stabilization.",Fall 2020,Class,13,,40,27,12978,"Graduate Business, Graduate, Undergraduate",Lecture,"Safdar Gill, Peng Wang",TBA,MW,3:15pm - 4:30pm
44,PSYC 312,Human Motivation and Emotion,"Communications Requirement, Social Sciences Requirement, Standard Tuition Rate","This course will provide a broad overview of major theories of human motivation, both historical and contemporary. After learning about these theories, students will explore how researchers have applied these principles in health care, sports, management, education, and virtual/gaming environments.",Fall 2020,Class,0,,30,30,13864,Undergraduate,Lecture,Arlen Moller,TBA,TR,11:25am - 12:40pm
45,CAE 691,Research and Thesis Ph.D.,"Forced to Full-Time Course, Standard Tuition Rate",Research and Thesis for Ph.D. degree,Fall 2020,Independent Study/Research,10,,10,0,11528,Graduate,Independent Study/Research,Gongkang Fu,TBA,,TBA
46,CAE 691,Research and Thesis Ph.D.,"Forced to Full-Time Course, Standard Tuition Rate",Research and Thesis for Ph.D. degree,Fall 2020,Independent Study/Research,10,,10,0,10934,Graduate,Independent Study/Research,Zongzhi Li,TBA,,TBA
47,CAE 691,Research and Thesis Ph.D.,"Forced to Full-Time Course, Standard Tuition Rate",Research and Thesis for Ph.D. degree,Fall 2020,Independent Study/Research,10,,10,0,10136,Graduate,Independent Study/Research,David Arditi,TBA,,TBA
48,CAE 691,Research and Thesis Ph.D.,"Forced to Full-Time Course, Standard Tuition Rate",Research and Thesis for Ph.D. degree,Fall 2020,Independent Study/Research,10,,10,0,10591,Graduate,Independent Study/Research,Jamshid Mohammadi,TBA,,TBA
49,CAE 691,Research and Thesis Ph.D.,"Forced to Full-Time Course, Standard Tuition Rate",Research and Thesis for Ph.D. degree,Fall 2020,Independent Study/Research,10,,10,0,11016,Graduate,Independent Study/Research,Mehdi Modares,TBA,,TBA
50,CAE 691,Research and Thesis Ph.D.,"Forced to Full-Time Course, Standard Tuition Rate",Research and Thesis for Ph.D. degree,Fall 2020,Independent Study/Research,10,,10,0,11391,Graduate,Independent Study/Research,Brent Stephens,TBA,,TBA
51,CAE 691,Research and Thesis Ph.D.,"Forced to Full-Time Course, Standard Tuition Rate",Research and Thesis for Ph.D. degree,Fall 2020,Independent Study/Research,10,,10,0,11753,Graduate,Independent Study/Research,Ivan Mutis Sin,TBA,,TBA
52,CAE 691,Research and Thesis Ph.D.,"Forced to Full-Time Course, Standard Tuition Rate",Research and Thesis for Ph.D. degree,Fall 2020,Independent Study/Research,10,,10,0,12757,Graduate,Independent Study/Research,Mohammad Heidarinejad,TBA,,TBA
53,CAE 691,Research and Thesis Ph.D.,"Forced to Full-Time Course, Standard Tuition Rate",Research and Thesis for Ph.D. degree,Fall 2020,Class,10,,10,0,10592,Graduate,Independent Study/Research,Jeff Budiman,TBA,,TBA
54,CAE 691,Research and Thesis Ph.D.,"Forced to Full-Time Course, Standard Tuition Rate",Research and Thesis for Ph.D. degree,Fall 2020,Class,10,Research and Thesis Ph.D.,10,0,13867,Graduate,Independent Study/Research,Matthew Gombeda,TBA,,TBA
55,FDSN 591,Research and Thesis,Standard Tuition Rate,Research and Thesis for Master of Science Degree students.,Fall 2020,Class,5,,5,0,13103,Graduate,Independent Study/Research,Robert Brackett,TBA,,TBA
56,FDSN 591,Research and Thesis,Standard Tuition Rate,Research and Thesis for Master of Science Degree students.,Fall 2020,Class,19,,20,1,13104,Graduate,Independent Study/Research,Alvin Lee,TBA,,TBA
57,FDSN 591,Research and Thesis,Standard Tuition Rate,Research and Thesis for Master of Science Degree students.,Fall 2020,Class,15,,15,0,13105,Graduate,Independent Study/Research,Elizabeth Grasso-Kelley,TBA,,TBA
58,FDSN 591,Research and Thesis,Standard Tuition Rate,Research and Thesis for Master of Science Degree students.,Fall 2020,Class,10,,10,0,13106,Graduate,Independent Study/Research,Jason Wan,TBA,,TBA
59,FDSN 591,Research and Thesis,Standard Tuition Rate,Research and Thesis for Master of Science Degree students.,Fall 2020,Class,10,,10,0,13108,Graduate,Independent Study/Research,Kaiping Deng,TBA,,TBA
60,FDSN 591,Research and Thesis,Standard Tuition Rate,Research and Thesis for Master of Science Degree students.,Fall 2020,Class,12,,12,0,13109,Graduate,Independent Study/Research,Indika Edirisinghe,TBA,,TBA
61,FDSN 591,Research and Thesis,Standard Tuition Rate,Research and Thesis for Master of Science Degree students.,Fall 2020,Class,25,,25,0,13110,Graduate,Independent Study/Research,Kathiravan Krishnamurthy,TBA,,TBA
62,FDSN 591,Research and Thesis,Standard Tuition Rate,Research and Thesis for Master of Science Degree students.,Fall 2020,Class,15,,15,0,13111,Graduate,Independent Study/Research,Wei Zhang,TBA,,TBA
63,FDSN 591,Research and Thesis,Standard Tuition Rate,Research and Thesis for Master of Science Degree students.,Fall 2020,Class,10,,10,0,13112,Graduate,Independent Study/Research,Britt Burton-Freeman,TBA,,TBA
64,FDSN 591,Research and Thesis,Standard Tuition Rate,Research and Thesis for Master of Science Degree students.,Fall 2020,Class,10,,10,0,13113,Graduate,Independent Study/Research,Amandeep Sandhu,TBA,,TBA
65,PSYC 511,Psychometric Theory,Standard Tuition Rate,"Basic understanding of principles and theories of psychological measurement emphasizing (1) theories and methods for estimation of reliability and validity, (2) techniques for the measurement of psychological variables and (3), methods for construction of psychological and educational measuring instruments.",Fall 2020,Class,8,,20,12,10471,"Graduate Business, Graduate, Undergraduate",Lecture,Scott Morris,TBA,TR,1:50pm - 3:05pm
66,PSYC 511,Psychometric Theory,Standard Tuition Rate,"Basic understanding of principles and theories of psychological measurement emphasizing (1) theories and methods for estimation of reliability and validity, (2) techniques for the measurement of psychological variables and (3), methods for construction of psychological and educational measuring instruments.",Fall 2020,Class,29,,30,1,13464,"Graduate Business, Graduate, Undergraduate",Lecture,Scott Morris,TBA,,TBA
67,FDSN 594,Special Projects,Standard Tuition Rate,"Advanced projects in food processing and packaging, food microbiology and safety, food chemistry, and nutrition.",Fall 2020,Class,5,,5,0,13123,Graduate,Independent Study/Research,Robert Brackett,TBA,,TBA
68,FDSN 594,Special Projects,Standard Tuition Rate,"Advanced projects in food processing and packaging, food microbiology and safety, food chemistry, and nutrition.",Fall 2020,Class,25,,25,0,13124,Graduate,Independent Study/Research,Alvin Lee,TBA,,TBA
69,FDSN 594,Special Projects,Standard Tuition Rate,"Advanced projects in food processing and packaging, food microbiology and safety, food chemistry, and nutrition.",Fall 2020,Class,10,,10,0,13125,Graduate,Independent Study/Research,Elizabeth Grasso-Kelley,TBA,,TBA
70,FDSN 594,Special Projects,Standard Tuition Rate,"Advanced projects in food processing and packaging, food microbiology and safety, food chemistry, and nutrition.",Fall 2020,Class,5,,5,0,13126,Graduate,Independent Study/Research,Jason Wan,TBA,,TBA
71,FDSN 594,Special Projects,Standard Tuition Rate,"Advanced projects in food processing and packaging, food microbiology and safety, food chemistry, and nutrition.",Fall 2020,Class,5,,5,0,13127,Graduate,Independent Study/Research,Kaiping Deng,TBA,,TBA
72,FDSN 594,Special Projects,Standard Tuition Rate,"Advanced projects in food processing and packaging, food microbiology and safety, food chemistry, and nutrition.",Fall 2020,Class,10,,10,0,13128,Graduate,Independent Study/Research,Indika Edirisinghe,TBA,,TBA
73,FDSN 594,Special Projects,Standard Tuition Rate,"Advanced projects in food processing and packaging, food microbiology and safety, food chemistry, and nutrition.",Fall 2020,Class,25,,25,0,13129,Graduate,Independent Study/Research,Kathiravan Krishnamurthy,TBA,,TBA
74,FDSN 594,Special Projects,Standard Tuition Rate,"Advanced projects in food processing and packaging, food microbiology and safety, food chemistry, and nutrition.",Fall 2020,Class,10,,10,0,13130,Graduate,Independent Study/Research,Wei Zhang,TBA,,TBA
75,FDSN 594,Special Projects,Standard Tuition Rate,"Advanced projects in food processing and packaging, food microbiology and safety, food chemistry, and nutrition.",Fall 2020,Class,5,,5,0,13131,Graduate,Independent Study/Research,Britt Burton-Freeman,TBA,,TBA
76,FDSN 594,Special Projects,Standard Tuition Rate,"Advanced projects in food processing and packaging, food microbiology and safety, food chemistry, and nutrition.",Fall 2020,Class,6,,6,0,13132,Graduate,Independent Study/Research,Amandeep Sandhu,TBA,,TBA
77,ITM 100,Intro to IT as a Profession,"Communications Requirement, Standard Tuition Rate","Introduces students to the profession of information technology, beginning
with concepts of systems, systems theory and modeling, information systems, and system integration. Examines the steps necessary to analyze a business problem and identify and define the computing and information requirements appropriate to its solution, with a focus on how to design, implement, and evaluate a technology-based system to meet desired needs. Students learn to analyze the local and global impact of computing on individuals, organizations, and society. Leads students to recognize of the need for continuing professional development, and imparts an understanding of professional, ethical, legal, security
and social issues and responsibilities in information technology. Students write and present, building their ability to communicate effectively with a range of audiences, and using standard planning methodologies design an information system to meet the information needs of a small business.",Fall 2020,Class,0,,56,56,12613,Undergraduate,Lecture,Raymond Trygstad,TBA,F,10am - 12:40pm
78,LAW 601,Emerging Technologies,CK Law Tuition Rate,"Law and the legal system anticipate and also respond to evolutions in technology in ways that may enhance or inhibit development. This seminar examines these changes from an historical perspective, using the evolution of telecommunications technologies and regulations as a case study. It then examines current technological developments in sectors such as green energy, transportation, genetic engineering, and social networks in the context of disciplines from the lawyer's toolkit: intellectual property, business organization, contractual relationships, constitutional rights of individuals, and theories of liability. This seminar will emphasize how future lawyers can and should anticipate or envision future legal impacts--including legislation, litigation, and corporate governance--of emerging technologies. Each student will select a particular technology, describe what makes it emerging, and explain its anticipated legal impacts in a class presentation and seminar paper.",Fall 2020,Class,0,,12,12,14135,"Graduate Business, Master of Laws, Law",Seminar,Matthew Rossetti,TBA,M,7:35pm - 9:25pm
79,MMAE 520,Advanced Thermodynamics,Standard Tuition Rate,"Macroscopic thermodynamics: first and second laws applied to equilibrium in multicomponent systems with chemical reaction and phase change, availability analysis, evaluations of thermodynamic properties of solids, liquids, and gases for single and multicomponent systems. Applications to contemporary engineering systems.
Prerequisite: An undergraduate course in applied thermodynamics.",Fall 2020,Class,25,,30,5,11897,"Graduate Business, Graduate, Undergraduate",Lecture,Heng Wang,TBA,MW,8:35am - 9:50am
80,MMAE 520,Advanced Thermodynamics,Standard Tuition Rate,"Macroscopic thermodynamics: first and second laws applied to equilibrium in multicomponent systems with chemical reaction and phase change, availability analysis, evaluations of thermodynamic properties of solids, liquids, and gases for single and multicomponent systems. Applications to contemporary engineering systems.
Prerequisite: An undergraduate course in applied thermodynamics.",Fall 2020,Class,7,,10,3,13917,"Graduate Business, Graduate, Undergraduate",Lecture,Heng Wang,TBA,,TBA
81,CAE 524,Building Enclosure Design,Standard Tuition Rate,"Design of building exteriors, including the control of heat flow, air and moisture penetration, building movements, and deterioration. Study of the principle of rain screen walls and of energy conserving designs. Analytical techniques and building codes are discussed through case studies and design projects.",Fall 2020,Class,12,,14,2,13468,"Graduate, Undergraduate",Lecture,Thomas Zakrzewski,TBA,W,5pm - 7:40pm
82,CAE 524,Building Enclosure Design,Standard Tuition Rate,"Design of building exteriors, including the control of heat flow, air and moisture penetration, building movements, and deterioration. Study of the principle of rain screen walls and of energy conserving designs. Analytical techniques and building codes are discussed through case studies and design projects.",Fall 2020,Class,5,,5,0,13473,"Graduate, Undergraduate",Lecture,Thomas Zakrzewski,TBA,,TBA
